id,predicted_age,confidence,explanation,d_age,difference
60,35.0,0.8,"The user prioritizes 'Love' over 'Sex' and seeks a relationship lasting 'The rest of my life,' indicating a strong desire for a long-term, serious commitment. This, combined with being 'Usually' open with feelings, suggests emotional maturity typically found beyond the early 20s. However, being 'Totally willing!' to meet someone and liking scary movies (`q44639`: 'Yes') points to an active and engaged individual, likely not in the older age brackets of online dating. The 'Atheism' and 'Never' doing drugs, with a preference against partners who do, are firm personal convictions often solidified in one's late 20s or 30s. A mid-30s age (e.g., 35) balances these indicators well: mature enough for a serious relationship, yet still active and engaged in the dating scene.",35.0,0.0
61,33.0,0.85,"The user strongly prioritizes 'Love' and seeks a relationship lasting 'The rest of my life,' indicating a clear desire for long-term commitment and stability. Her strict preference against dating drug users and messy individuals, combined with her 'Catholicism' and 'Somewhat important' view on religion, suggests a traditional mindset focused on a settled, serious partnership. These characteristics, along with being 'Totally willing!' to meet in person, are commonly observed in women in their late 20s to mid-30s who are actively seeking a life partner.",38.0,5.0
62,32.0,0.8,"The user's strong desire for 'Love' over 'Sex' (q35) and a relationship lasting 'The rest of my life' (q41953) are key indicators of someone seeking a serious, long-term commitment. This goal is highly characteristic of individuals past their early 20s, typically in their late 20s to mid-30s, who are looking to settle down. Their 'Higher than average' self-confidence (q20930), willingness to be 'Usually' open with feelings (q35660), and 'Totally willing!' attitude to meet (q16053) suggest maturity and an active approach to dating, further supporting an age in this range. The lack of drug use (d_drugs) and preference against partners who use drugs (q9688) also align with a search for stability. Atheism (d_religion_type, q41) is common across many age groups, but doesn't contradict this prediction.",36.0,4.0
65,35.0,0.85,"The user strongly prioritizes 'Love' over 'Sex' and explicitly desires a relationship to last 'The rest of my life', indicating a serious pursuit of a long-term, committed partnership. Preferences like 'No' to dating drug users and 'Always' being open with feelings further suggest emotional maturity and a stable life outlook, which are common traits in individuals in their mid-thirties seeking a life partner.",34.0,1.0
63,31.0,0.75,"The user prioritizes 'Love' but desires a relationship lasting 'A few months to a year,' suggesting someone seeking a meaningful connection without immediate pressure for a lifelong commitment. This, combined with openness to a partner who uses 'soft stuff like marijuana' while personally abstaining, points to an individual in their late 20s to mid-30s who is actively dating and open-minded, but also looking for substance in relationships.",44.0,13.0
64,33.0,0.75,"The user prioritizes 'Love' and seeks a relationship lasting 'Several years,' indicating a desire for a serious, long-term connection but not necessarily immediate lifelong commitment. Their cautious yet open approach to meeting ('Hesitant, but I'd certainly consider it.') and stable lifestyle (never uses drugs, won't date users) suggest a mature individual who is past early experimentation but still open to establishing a significant partnership. This profile aligns well with someone in their early to mid-thirties.",20.0,13.0
66,33.0,0.75,"The user prioritizes 'Love' and desires a relationship lasting 'The rest of my life,' strongly indicating a focus on long-term commitment and stability. This is reinforced by his 'Never' drug use and unwillingness to date drug users. These characteristics are common for individuals in their late 20s to late 30s who are actively seeking to settle down. While he 'Rarely' opens up with feelings, which might suggest a slight emotional reservation, it does not contradict his clear intention for a serious, lifelong partnership.",28.0,5.0
67,34.0,0.8,"The user's strong desire for a relationship to last 'The rest of my life' is a key indicator for someone seeking a long-term commitment, typically found in their late 20s, 30s, or early 40s. This is reinforced by prioritizing 'Love' over 'Sex', expressing 'Higher than average' self-confidence, being 'Usually' open with feelings, and seeking a partner who doesn't use drugs. These traits collectively suggest an individual who has achieved a level of personal maturity and stability, and is seriously looking to settle down.",39.0,5.0
68,32.0,0.75,"The user prioritizes 'Love' and desires a relationship lasting 'Several years,' indicating a search for a substantial, long-term connection. Their Agnosticism and 'Not at all important' view on religion, combined with a personal abstinence from drugs ('Never') yet tolerance for a partner using 'soft stuff like marijuana,' suggests a mature individual (late 20s to late 30s) who is open-minded about modern social norms while maintaining personal boundaries and seeking a committed, stable relationship.",31.0,1.0
69,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}",25.0,
70,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '16s'}]}}",38.0,
71,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '13s'}]}}",43.0,
73,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '7s'}]}}",22.0,
72,28.0,0.75,"The user's desire for a relationship lasting 'A few months to a year' suggests a stage of life past casual flings but not yet focused on long-term commitment. Furthermore, the willingness to date someone who uses 'soft stuff like marijuana' is a strong indicator of a younger demographic, most commonly found in the late 20s to early 30s, aligning with a more exploratory and open-minded phase.",20.0,8.0
74,35.0,0.8,"The user's strong desire for a relationship lasting 'the rest of my life' and preference for 'Love' over 'Sex,' combined with a drug-free lifestyle and a preference for an orderly partner, are strong indicators of someone in their early to mid-30s who is seeking a long-term, stable commitment.",33.0,2.0
77,38.0,0.8,"The user's strong desire for a relationship to last 'The rest of my life' and prioritization of 'Love' over 'Sex' are key indicators of someone seeking a serious, long-term commitment. Combined with a firm stance against drug use and 'Usually' being open with feelings, these traits suggest an emotionally mature individual likely in their late 30s or early 40s, a common age for men to be settling down.",40.0,2.0
75,32.0,0.75,"The user's strong desire for a relationship lasting 'The rest of my life' and prioritizing 'Love' over 'Sex' are key indicators of someone seeking a serious, long-term partner. This, combined with being 'Always' open with feelings and a preference against drug use, suggests a mature individual past the exploratory phase of dating, commonly found in their late 20s to mid-30s. Their atheism and willingness to meet online are common across various adult age groups and do not contradict this.",26.0,6.0
76,32.0,0.75,"The user prioritizes 'Love' and seeks a relationship lasting 'Several years', indicating a desire for a serious, committed partnership without necessarily defining it as 'the rest of my life'. This, combined with higher than average self-confidence, emotional openness ('Always' open with feelings), and a clear preference for a stable partner (never uses drugs, won't date drug users or messy people), suggests someone who has moved past casual dating but is still actively building their life. This profile fits well within the late 20s to mid-30s demographic.",20.0,12.0
78,30.0,0.75,"The user prioritizes 'Love' over 'Sex' and seeks a relationship lasting 'Several years', indicating a desire for a stable, long-term commitment. This, combined with 'Very, very high' self-confidence, a strong stance against drugs, and a 'Totally willing' attitude to meet, suggests a mature individual past the exploratory phase of their early twenties. This profile aligns well with someone in their late twenties to early thirties who is looking for a serious partnership.",35.0,5.0
80,36.0,0.85,"The user's strong desire for 'Love' and a relationship lasting 'The rest of my life,' combined with a 'No' stance on dating drug users and never having used drugs themselves, points to someone serious, settled, and seeking a long-term, stable partnership. This profile is most common in individuals in their late 20s to early 40s who are past the casual dating stage and are looking to build a future.",37.0,1.0
79,33.0,0.75,"The desire for a relationship lasting 'Several years' suggests commitment beyond casual dating, yet prioritizing 'Sex' right now and not 'The rest of my life' points away from immediate lifelong settlement. The user's higher than average self-confidence and open-mindedness towards a partner's drug use (while not partaking themselves) align with a demographic in their early to mid-thirties who are active in online dating and seeking a meaningful, but not necessarily final, relationship.",24.0,9.0
82,31.0,0.75,"The user seeks a relationship lasting 'A few months to a year,' suggesting someone who is past casual flings but not necessarily seeking immediate long-term commitment. This, combined with openness to dating someone who uses 'soft stuff like marijuana' and a general enthusiasm ('Totally willing!') to meet, points towards an individual in their late 20s to early 30s, likely exploring and enjoying the dating scene with a degree of self-awareness and confidence.",37.0,6.0
81,32.0,0.8,"The user's desire for a relationship to last 'Several years' indicates a commitment level beyond casual dating but not necessarily an immediate lifelong partner, often seen in early to mid-thirties. Their agnostic stance on religion and nuanced view on drugs (personally abstinent but open to a partner using marijuana) also align with a younger to middle-aged adult demographic.",28.0,4.0
83,32.0,0.75,"The user prioritizes 'Love' and seeks a relationship lasting 'Several years,' indicating a desire for a serious, but not necessarily lifelong, commitment, often seen in late 20s to mid-30s. Their low importance of religion despite a Catholic background and acceptance of 'soft drugs' suggest a modern outlook common in younger to middle-aged adults. High self-confidence and openness with feelings also point to someone with some life experience.",28.0,4.0
84,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '19s'}]}}",35.0,
85,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}",23.0,
86,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '15s'}]}}",42.0,
87,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '14s'}]}}",33.0,
88,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}",37.0,
93,38.0,0.85,"The user's strong desire for a lifelong relationship, high importance placed on religion (Catholicism), and conservative stance on drugs (never uses, wouldn't date someone who does) strongly suggest someone mature and serious about finding a long-term partner. These combined factors are most consistent with an individual in their late 30s or early 40s who has moved past casual dating phases.",47.0,9.0
92,34.0,0.8,"The strong desire for a relationship to last 'The rest of my life' is a key indicator of someone looking to settle down. This, combined with prioritizing 'Love' over 'Sex', consistently being 'Always' open with feelings, and clear preferences against drug use and messiness, points to a mature individual likely past the early exploratory dating stages and actively seeking a stable, long-term partner, often found in their late 20s to late 30s.",40.0,6.0
91,29.0,0.75,"The user's preference for a relationship lasting 'A few months to a year' suggests someone exploring serious connections but not necessarily looking to settle down permanently, common in late 20s or early 30s. Her atheism ('Not at all important' religion) and tolerance for dating someone who uses marijuana (though she doesn't) also align with younger adult demographics (Millennial/Gen Z). High self-confidence and willingness to meet indicate an active, engaged individual in this age bracket.",30.0,1.0
89,30.0,0.75,"The user prioritizes sex over love and desires a relationship lasting 'a few months to a year,' suggesting a preference for meaningful but not immediately long-term commitment. This, coupled with an agnostic stance and openness to soft drug use in a partner, aligns with an individual in their late 20s to early 30s who is independent and actively exploring relationships without immediate pressure to settle down.",48.0,18.0
90,31.0,0.68,"The user desires a relationship lasting 'A few months to a year,' suggesting someone exploring and not necessarily seeking immediate long-term commitment, common in the late 20s to early 30s. This is balanced by a focus on 'Love' over 'Sex' and being 'Always' open with feelings, indicating emotional maturity. The low importance of religion also often correlates with younger adult demographics.",46.0,15.0
94,33.0,0.8,"The user prioritizes 'Love' and seeks a relationship lasting 'The rest of my life', indicating a strong desire for a serious, long-term commitment. Their 'Totally willing!' attitude to meet, coupled with a 'Never' stance on drugs and refusal to date drug users, suggests a mature and settled individual past the casual dating phase. This profile typically aligns with someone in their late 20s to mid-30s who is actively looking to settle down.",30.0,3.0
95,32.0,0.75,"The user prioritizes 'Love' and seeks a relationship lasting 'Several years,' indicating a desire for commitment beyond casual dating but not necessarily a 'rest of my life' partner. This, combined with preferences for order (no messy partners) and emotional openness ('Usually' open with feelings), suggests someone in their late 20s to mid-30s who is mature and established but still actively exploring long-term connections.",32.0,0.0
96,37.0,0.8,"The user's strong desire for a relationship lasting 'The rest of my life' and prioritizing 'Love' over 'Sex' indicates a mature individual serious about finding a committed, long-term partner. This demographic often falls into their late 20s to early 40s, actively seeking stability and emotional connection. The age of 37 reflects this goal.",26.0,11.0
99,30.0,0.8,"The user desires a relationship lasting 'A few months to a year,' which is typical for someone past casual dating but not yet seeking 'the rest of my life' partner, often seen in the late 20s to early 30s. Lower self-confidence ('Below average') and a liberal stance on drug use ('Sometimes' user, 'Yes' to dating users) further suggest this age range.",25.0,5.0
98,34.0,0.75,"The strong desire for a lifelong relationship ('The rest of my life') and prioritizing 'Love' over 'Sex', coupled with a clear preference for a stable partner (never uses drugs, won't date drug users), suggests someone past casual dating. This profile is consistent with a woman in her early to mid-thirties actively seeking a serious, long-term commitment.",40.0,6.0
97,32.0,0.75,"The user prioritizes 'Love' and desires a relationship lasting 'The rest of my life,' indicating a mature individual seeking serious commitment. Her atheism and acceptance/personal use of 'soft stuff like marijuana' suggest a modern and perhaps liberal outlook. This combination points towards a woman in her late 20s to mid-30s who is established in her identity and ready to settle down.",26.0,6.0
100,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '12s'}]}}",44.0,
101,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '11s'}]}}",41.0,
103,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '8s'}]}}",37.0,
105,24.0,0.85,"The user's preference for a relationship lasting 'a few months to a year,' prioritizing 'sex' over 'love,' current drug use ('Sometimes'), and openness to dating someone who uses drugs, all strongly suggest a younger adult (early to mid-20s) who is actively exploring and not seeking long-term commitment at this stage.",31.0,7.0
102,32.0,0.75,"The user seeks a serious, multi-year relationship (q41953), values 'Love' (q35), and demonstrates emotional maturity (q35660) and confidence (q20930). Their agnostic beliefs, vegetarianism, and moderate drug use (d_drugs, q9688, q179268) align with demographics often found in their late 20s to mid-30s, indicating they are past casual dating but not necessarily seeking 'rest of my life' commitment yet.",19.0,13.0
104,31.0,0.75,"The user's desire for a 'rest of my life' relationship suggests a commitment-minded individual, while prioritizing 'Sex' currently and admitting 'Sometimes' drug use points to someone still actively engaged in social life. This combination, along with 'Higher than average' confidence, aligns well with a man in his late 20s to early 30s who is seeking a serious, long-term partner but also values passion and a dynamic lifestyle.",44.0,13.0
107,30.0,0.75,"The user's desire for 'Love' and a relationship lasting 'Several years' (rather than 'the rest of my life') suggests someone past casual dating but not necessarily prioritizing immediate lifelong commitment. Combined with lifestyle choices like being vegetarian/vegan and an atheist, this profile aligns well with a mature young adult in their late 20s to early 30s who is serious about dating and has established values.",54.0,24.0
106,27.0,0.85,"The user's preference for a relationship lasting 'A few months to a year' and their openness to dating someone who uses 'soft stuff like marijuana' strongly suggest a person in their mid-to-late 20s. This age group often prioritizes exploring relationships and dating casually over immediate long-term commitment, aligning with their focus on 'Sex' rather than 'Love' right now. Their confidence and willingness to meet further support an active, younger dating profile.",33.0,6.0
108,33.0,0.75,"The user's strong desire for a relationship to last 'The rest of my life' and prioritizing 'Love' indicates a focus on serious, long-term commitment. Her 'Totally willing!' attitude to meet in person further supports this dedication. While open-minded on some issues (dating a messy person, or someone using soft drugs), these preferences, combined with a non-religious stance, point towards someone who is past early dating exploration but still in an age bracket where starting a long-term partnership is a primary goal, typically late 20s to mid-30s.",25.0,8.0
111,26.0,0.85,"The user's desire for a relationship lasting 'A few months to a year' is a strong indicator of someone in their mid-to-late twenties, past casual dating but not yet seeking a lifelong commitment. Prioritizing 'Love' over 'Sex' and expressing 'Higher than average' self-confidence, combined with a responsible stance on drugs, further supports an age where individuals are developing stable identities and seeking meaningful, but not necessarily permanent, connections.",26.0,0.0
110,31.0,0.75,"The user prioritizes 'Love' and desires a relationship lasting 'a few months to a year,' indicating they are past very casual dating but not actively seeking immediate lifelong commitment. Their openness to dating someone who uses 'soft' drugs like marijuana and a 'hesitant but willing' approach to meeting in person aligns with someone in their late twenties or early thirties who is navigating adult relationships and preferences.",30.0,1.0
109,30.0,0.8,"The user desires a relationship lasting 'Several years' and prioritizes 'Love' over 'Sex', indicating a desire for a serious, sustained partnership without necessarily committing to 'the rest of my life' yet. This, combined with being 'Agnostic' and open to drug use ('Sometimes', 'Yes' to dating users), points towards an individual who is past early casual dating but not necessarily seeking immediate marriage/long-term settlement, typically aligning with the late 20s to early 30s demographic.",37.0,7.0
112,34.0,0.75,"The user is a man seeking 'Love' over 'Sex' and desires a relationship lasting 'Several years', strongly indicating a focus on serious, long-term commitment. His atheism and non-vegetarian status are common in this age range, and being 'Usually' open with feelings suggests a level of emotional maturity, consistent with someone in their early to mid-thirties who is looking to settle down.",34.0,0.0
113,31.0,0.8,"The user, a woman, prioritizes 'Love' and desires a relationship lasting 'Several years,' indicating a serious but not necessarily immediate 'rest of my life' commitment. Her low importance for religion and openness to dating someone who uses 'soft stuff like marijuana' suggest a more modern outlook often found in younger adults. These factors, combined with her enthusiasm to meet, place her beyond the early 20s casual dating phase but before the age where 'the rest of my life' might become a dominant relationship goal.",30.0,1.0
114,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '19s'}]}}",35.0,
115,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}",32.0,
116,,,"⚠️ Failed after retries: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '10'}]}, {'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}",26.0,
117,31.0,0.75,"This woman prioritizes 'Love' and seeks a relationship lasting 'Several years', indicating a desire for a serious, mature partnership. Her willingness to be 'Usually' open with feelings and 'Totally willing' to meet in person further supports this. While she 'Never' uses drugs herself, her openness to a partner using 'soft stuff like marijuana' suggests a blend of personal discipline and a pragmatic, open-minded perspective, often found in the late 20s to early 30s, where individuals are established but still flexible.",22.0,9.0
